Column B vs. Column A_X	Column B vs. Column A_Y
217.605	-0.809026
218.246	-0.820216
218.73	-0.83169
219.214	-0.845037
219.683	-0.853992
220.167	-0.863604
220.808	-0.878116
221.292	-0.881191
221.776	-0.887435
222.245	-0.891827
222.729	-0.886405
223.213	-0.871921
223.854	-0.850951
224.338	-0.82514
224.807	-0.803946
225.291	-0.790248
225.775	-0.785013
226.416	-0.763282
226.884	-0.743216
227.369	-0.731268
227.853	-0.724916
228.337	-0.726854
228.806	-0.732315
229.446	-0.737216
229.931	-0.741566
230.415	-0.749153
230.883	-0.75036
231.368	-0.752315
232.008	-0.74448
232.492	-0.742403
232.977	-0.735466
233.445	-0.730249
233.93	-0.720929
234.414	-0.703216
235.054	-0.687278
235.539	-0.675166
236.007	-0.666703
236.491	-0.668655
236.976	-0.676019
237.444	-0.678282
238.085	-0.680216
238.569	-0.688565
239.053	-0.688137
239.538	-0.692902
240.006	-0.70077
240.647	-0.701216
241.131	-0.707416
241.615	-0.706456
242.084	-0.711183
242.568	-0.70986
243.209	-0.698918
243.693	-0.68604
244.177	-0.678755
244.646	-0.662761
245.13	-0.646761
245.614	-0.638817
246.255	-0.635083
246.739	-0.628341
247.208	-0.628999
247.692	-0.633315
248.176	-0.638209
248.817	-0.654877
249.285	-0.673216
249.77	-0.703375
250.254	-0.728036
250.738	-0.743273
251.379	-0.756679
251.847	-0.762216
252.332	-0.757052
252.816	-0.747421
253.284	-0.73836
253.769	-0.734348
254.409	-0.72238
254.893	-0.713145
255.378	-0.701872
255.846	-0.69967
256.331	-0.701069
256.815	-0.705626
257.455	-0.703371
257.924	-0.685215
258.408	-0.678509
258.892	-0.674607
259.377	-0.676744
259.845	-0.664637
260.486	-0.644216
260.97	-0.623065
261.454	-0.610535
261.939	-0.599637
262.407	-0.589604
262.892	-0.587
263.532	-0.59181
264.016	-0.601943
264.485	-0.618661
264.969	-0.63848
265.453	-0.657105
265.938	-0.668299
266.578	-0.675546
267.047	-0.677216
267.531	-0.666266
268.015	-0.65851
268.5	-0.650612
269.124	-0.636215
269.609	-0.633215
270.093	-0.621665
270.577	-0.607797
271.046	-0.604216
271.53	-0.604894
272.014	-0.606013
272.655	-0.614447
273.139	-0.62144
273.608	-0.625026
274.092	-0.635637
274.576	-0.641112
275.217	-0.633414
275.685	-0.629215
276.17	-0.632512
276.654	-0.640916
277.138	-0.650181
277.607	-0.660315
278.247	-0.658216
278.732	-0.647966
279.216	-0.640403
279.684	-0.636481
280.169	-0.632538
280.653	-0.633916
281.293	-0.641556
281.778	-0.652341
282.246	-0.654997
282.731	-0.660607
283.215	-0.664122
283.699	-0.667762
284.34	-0.673645
284.808	-0.682216
285.293	-0.684809
285.777	-0.680421
286.245	-0.674892
286.886	-0.667215
287.37	-0.658041
287.854	-0.631755
288.339	-0.605059
288.807	-0.583315
289.292	-0.576069
289.932	-0.569743
290.416	-0.566591
290.885	-0.561316
291.369	-0.54967
291.853	-0.546006
292.338	-0.549298
292.978	-0.566942
293.447	-0.593214
293.931	-0.609879
294.415	-0.619407
294.9	-0.623034
295.368	-0.630415
296.009	-0.643216
296.493	-0.644591
296.977	-0.647917
297.446	-0.648315
297.93	-0.641959
298.414	-0.631712
299.055	-0.629348
299.539	-0.650266
300.008	-0.708729
300.492	-0.794348
300.976	-0.892817
301.445	-1.00454
302.085	-1.17022
302.57	-1.28604
303.054	-1.34349
303.538	-1.37411
304.007	-1.38442
304.491	-1.38761
305.132	-1.33164
305.616	-1.29879
306.1	-1.61275
306.569	-2.00422
307.053	-2.23712
307.537	-2.0212
308.178	-1.51184
308.646	-1.09922
309.131	-0.774468
309.615	0.914244
310.099	4.23377
310.568	6.85149
311.208	8.13878
311.693	7.45079
312.177	6.95679
312.645	6.13086
313.13	5.20948
313.614	4.59887
314.254	3.50937
314.739	3.11534
315.207	3.05211
315.692	2.34829
316.176	1.59984
316.816	0.776964
317.301	0.433033
317.769	0.580292
318.254	0.0698586
318.738	-0.384693
319.206	-0.52948
319.691	-0.703579
320.331	-0.971611
320.815	-1.14121
321.3	-1.24529
321.768	-1.3299
322.253	-1.4733
322.737	-1.53811
323.377	-1.6048
323.846	-1.42622
324.33	6.71132
324.814	9.31206
325.299	3.91814
325.939	0.234386
326.408	0.584782
326.892	0.951973
327.376	1.40161
327.861	1.69996
328.329	1.95728
328.97	2.25976
329.454	2.49209
329.938	2.7019
330.407	2.88626
330.891	3.04397
331.375	3.17225
331.86	3.29022
332.5	3.43683
332.969	3.55878
333.453	3.6432
333.937	3.7083
334.406	3.76785
335.046	3.81278
335.531	3.83663
336.015	3.85635
336.499	3.85066
336.968	3.83774
337.608	3.81879
338.093	3.76224
338.577	3.6916
339.061	3.49415
339.53	3.00599
340.17	2.13576
340.654	1.38058
341.139	0.582344
341.607	-0.931694
342.092	-1.81985
342.576	-2.06101
343.216	-2.15485
343.701	-1.87058
