Scrubber 2.00 Method File
10:05:57   2021/05/20

RowCount: 1

Rows:	1
Cols:	 1
Grid:
 0u

Analytes: 1
 1	-1.00	39599	1
 1

Input data:
210519 15:10 Fc=12 - 1_X	210519 15:10 Fc=12 - 1_Y	210519 15:10 Fc=16 - 1_X	210519 15:10 Fc=16 - 1_Y
193.283	-7.409	193.283	-7.081
193.923	-7.463	193.923	-7.148
194.407	-7.500	194.407	-7.193
194.892	-7.544	194.892	-7.236
195.360	-7.582	195.360	-7.280
195.845	-7.614	195.845	-7.315
196.329	-7.653	196.329	-7.355
196.969	-7.699	196.969	-7.403
197.454	-7.735	197.454	-7.443
197.922	-7.776	197.922	-7.482
198.406	-7.812	198.406	-7.526
198.891	-7.845	198.891	-7.573
199.359	-7.881	199.359	-7.618
200.000	-7.932	200.000	-7.683
200.484	-7.971	200.484	-7.734
200.968	-8.009	200.968	-7.781
201.453	-8.049	201.453	-7.827
201.921	-8.091	201.921	-7.867
202.562	-8.148	202.562	-7.922
203.046	-8.199	203.046	-7.969
203.530	-8.246	203.530	-8.015
203.999	-8.291	203.999	-8.066
204.483	-8.331	204.483	-8.109
204.967	-8.370	204.967	-8.149
205.608	-8.427	205.608	-8.206
206.092	-8.466	206.092	-8.252
206.561	-8.497	206.561	-8.290
207.045	-8.521	207.045	-8.331
207.529	-8.552	207.529	-8.382
208.170	-8.579	208.170	-8.427
208.638	-8.603	208.638	-8.463
209.123	-8.630	209.123	-8.502
209.607	-8.652	209.607	-8.538
210.091	-8.672	210.091	-8.570
210.732	-8.690	210.732	-8.616
211.200	-8.707	211.200	-8.654
211.685	-8.726	211.685	-8.692
212.169	-8.744	212.169	-8.728
212.653	-8.763	212.653	-8.775
213.122	-8.785	213.122	-8.823
213.762	-8.820	213.762	-8.891
214.246	-8.850	214.246	-8.949
214.731	-8.882	214.731	-9.003
215.199	-8.910	215.199	-9.058
215.684	-8.938	215.684	-9.113
216.168	-8.973	216.168	-9.176
216.808	-9.030	216.808	-9.248
217.293	-9.066	217.293	-9.301
217.761	-9.097	217.761	-9.344
218.246	-9.120	218.246	-9.381
218.730	-9.144	218.730	-9.418
219.214	-9.164	219.214	-9.455
219.839	-9.180	219.839	-9.494
220.323	-9.192	220.323	-9.523
220.807	-9.196	220.807	-9.545
221.292	-9.207	221.292	-9.570
221.760	-9.227	221.760	-9.594
222.401	-9.249	222.401	-9.626
222.885	-9.269	222.885	-9.655
223.369	-9.288	223.369	-9.681
223.854	-9.310	223.854	-9.708
224.322	-9.333	224.322	-9.733
224.807	-9.360	224.807	-9.758
225.447	-9.389	225.447	-9.791
225.931	-9.420	225.931	-9.825
226.400	-9.460	226.400	-9.860
226.884	-9.495	226.884	-9.893
227.368	-9.534	227.368	-9.932
227.853	-9.571	227.853	-9.974
228.493	-9.621	228.493	-10.027
228.962	-9.656	228.962	-10.066
229.446	-9.682	229.446	-10.096
229.930	-9.712	229.930	-10.126
230.415	-9.728	230.415	-10.152
230.883	-9.741	230.883	-10.176
231.524	-9.755	231.524	-10.210
232.008	-9.763	232.008	-10.230
232.492	-9.772	232.492	-10.256
232.961	-9.779	232.961	-10.282
233.445	-9.787	233.445	-10.310
234.086	-9.809	234.086	-10.349
234.570	-9.828	234.570	-10.385
235.054	-9.855	235.054	-10.423
235.523	-9.890	235.523	-10.461
236.007	-9.931	236.007	-10.511
236.647	-9.976	236.647	-10.565
237.132	-10.020	237.132	-10.609
237.600	-10.069	237.600	-10.654
238.085	-10.115	238.085	-10.703
238.569	-10.161	238.569	-10.753
239.053	-10.201	239.053	-10.794
239.694	-10.238	239.694	-10.836
240.162	-10.265	240.162	-10.870
240.647	-10.291	240.647	-10.901
241.131	-10.314	241.131	-10.934
241.599	-10.339	241.599	-10.967
242.084	-10.366	242.084	-11.013
242.724	-10.393	242.724	-11.059
243.208	-10.420	243.208	-11.107
243.693	-10.437	243.693	-11.161
244.161	-10.456	244.161	-11.220
244.646	-10.480	244.646	-11.278
245.130	-10.509	245.130	-11.346
245.770	-10.537	245.770	-11.428
246.255	-10.570	246.255	-11.496
246.723	-10.436	246.723	-11.389
247.207	-10.052	247.207	-10.969
247.692	-9.897	247.692	-10.769
248.160	-9.147	248.160	-10.166
248.801	64.716	248.801	80.169
249.285	71.475	249.285	86.195
249.769	4.026	249.769	6.583
250.254	-5.481	250.254	-8.115
250.722	-5.573	250.722	-8.200
251.207	-5.545	251.207	-8.139
251.847	-5.461	251.847	-8.096
252.331	-5.613	252.331	-8.294
252.800	-5.736	252.800	-8.457
253.284	-5.834	253.284	-8.596
253.768	-5.922	253.768	-8.713
254.253	-5.999	254.253	-8.824
254.893	-6.081	254.893	-8.944
255.362	-6.135	255.362	-9.027
255.846	-6.181	255.846	-9.099
256.330	-6.214	256.330	-9.160
256.815	-6.246	256.815	-9.216
257.455	-6.280	257.455	-9.273
257.924	-6.296	257.924	-9.311
258.408	-6.310	258.408	-9.344
258.892	-6.307	258.892	-9.358
259.361	-6.307	259.361	-9.367
260.001	-6.296	260.001	-9.387
260.486	-6.279	260.486	-9.398
260.970	-6.267	260.970	-9.415
261.454	-6.251	261.454	-9.423
261.923	-6.230	261.923	-9.436
262.563	-6.195	262.563	-9.448
263.047	-6.175	263.047	-9.458
263.532	-6.149	263.532	-9.466
264.000	-6.124	264.000	-9.473
264.485	-6.102	264.485	-9.478
265.125	-6.077	265.125	-9.487
265.609	-6.054	265.609	-9.490
