KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	Fit on KRAS_1uMGDP_G12D_GDP_D_40_X	Fit on KRAS_1uMGDP_G12D_GDP_D_40_Y
25.9312	0.949643		
26.3999	0.955517		
26.8838	0.954409		
27.5249	0.948881		
28.0088	0.948941		
28.478	0.947811		
28.9619	0.94716		
29.4458	0.951914		
30.0869	0.955027		
30.5708	0.960147		
31.04	0.960297		
31.5239	0.978033		
32.0078	0.987868		
32.6489	1.00319		
33.1172	1.00452		
33.6011	1.00911		
34.0859	1.02343		
34.5698	1.02652		
35.21	1.02735		
35.6792	1.02337		
36.1631	1.02348		
36.6479	1.02921		
37.2881	1.02555		
37.7568	1.0216		
38.2407	1.01372		
38.7251	1.00022		
39.209	0.988616		
39.8501	0.981922		
40.3188	0.976924		
40.8027	0.980495		
41.2871	0.981872		
41.771	0.984585		
42.4121	0.994373		
42.8799	1.00954		
43.3647	1.01248		
43.8491	1.0192		
44.3179	1.02454		
44.8018	1.04411		
45.4419	1.06631		
45.9268	1.08411		
46.4111	1.09517		
46.8799	1.1049		
47.3638	1.12351		
48.0039	1.14445		
48.4888	1.15328		
48.957	1.16289		
49.4409	1.18112		
49.9258	1.18611		
50.4102	1.18877		
51.0498	1.19061		
51.519	1.19514		
52.0029	1.19449		
52.4878	1.19504		
52.9722	1.19258		
53.5972	1.19138		
54.0811	1.19438		
54.5649	1.20822		
55.0498	1.21994		
55.5181	1.23111		
56.002	1.23991		
56.6431	1.25016		
57.127	1.26613		
57.6108	1.27972		
