subtracted_X	subtracted_Y	specific_X	specific_Y	blank_X	blank_Y
1614.92	11.501	981.628	-3.663	981.628	-2.969
1615.4	11.27	982.097	-3.65	982.097	-2.951
1615.89	11.313	982.581	-3.631	982.581	-2.937
1616.35	11.581	983.066	-3.613	983.066	-2.917
1616.84	11.738	983.55	-3.598	983.55	-2.901
1617.48	11.876	984.018	-3.583	984.018	-2.893
1617.96	11.988	984.659	-3.56	984.659	-2.873
1618.45	12.159	985.143	-3.544	985.143	-2.856
1618.92	12.373	985.627	-3.524	985.627	-2.841
1619.4	12.328	986.112	-3.513	986.112	-2.828
1619.89	12.173	986.58	-3.529	986.58	-2.828
1620.53	12.287	987.221	-3.574	987.221	-2.831
1620.99	12.277	987.705	-3.623	987.705	-2.836
1621.48	12.287	988.189	-3.687	988.189	-2.849
1621.96	12.324	988.658	-3.75	988.658	-2.857
1622.45	12.407	989.142	-3.819	989.142	-2.871
1622.92	12.501	989.627	-3.884	989.627	-2.88
1623.56	12.621	990.111	-3.945	990.111	-2.897
1624.04	12.71	990.751	-4.014	990.751	-2.909
1624.52	12.78	991.22	-4.054	991.22	-2.896
1624.99	12.823	991.704	-4.057	991.704	-2.857
1625.48	12.842	992.188	-4.078	992.188	-2.828
1625.96	12.844	992.829	-4.122	992.829	-2.83
1626.6	12.816	993.298	-4.139	993.298	-2.857
1627.09	12.765	993.782	-4.038	993.782	-2.807
1627.56	12.697	994.266	-3.748	994.266	-2.605
1628.04	12.609	994.75	-3.233	994.75	-2.205
1628.52	12.512	995.391	-2.424	995.391	-1.445
1629.16	12.381	995.859	-1.599	995.859	-0.715
1629.65	12.264	996.344	0.136	996.344	0.263
1630.12	12.145	996.828	3.516	996.828	2.758
1630.6	12.028	997.468	7.349	997.468	6.88
1631.08	11.91	997.953	10.375	997.953	10.405
1631.55	11.798	998.421	12.733	998.421	13.158
1632.19	11.652	998.906	15.081	998.906	15.771
1632.68	11.536	999.39	17.243	999.39	18.419
1633.16	11.422	999.859	19.282	999.859	20.728
1633.65	11.307	1000.5	21.446	1000.5	23.296
1634.12	11.199	1000.98	23.366	1000.98	25.594
1634.6	11.078	1001.47	24.897	1001.47	27.467
1635.24	10.939	1001.95	26.52	1001.95	29.288
1635.72	10.83	1002.42	27.751	1002.42	30.952
1636.19	10.734	1002.91	29.06	1002.91	32.276
1636.68	10.641	1003.54	30.606	1003.54	34.092
1637.16	10.558	1004.03	31.809	1004.03	35.595
1637.65	10.48	1004.5	32.854	1004.5	36.842
1638.29	10.39	1004.98	33.98	1004.98	38.048
1638.76	10.328	1005.47	35.081	1005.47	39.358
1639.24	10.27	1005.95	36.126	1005.95	40.312
1639.72	10.206	1006.59	37.468	1006.59	41.803
1640.21	10.132	1007.06	38.501	1007.06	42.953
1640.85	10.033	1007.54	39.451	1007.54	43.895
